17:10:34.423 [restartedMain] INFO  z.dividend.DividendApplication - Starting DividendApplication using Java 11.0.17 on DESKTOP-G1QD6KU with PID 20552 (C:\Users\seyou\Desktop\my_Git_Hub\Dividend\build\classes\java\main started by wonseyoung in C:\Users\seyou\Desktop\my_Git_Hub\Dividend)
17:10:36.206 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
17:10:36.210 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:dayone'
17:10:36.388 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
17:10:36.433 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.32.Final
17:10:36.564 [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
17:10:36.662 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
17:10:37.307 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
17:10:37.316 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
17:10:37.780 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
17:10:38.059 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/h2-console/**'] with []
17:10:38.091 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2285b62, org.springframework.security.web.context.SecurityContextPersistenceFilter@264f4e77, org.springframework.security.web.header.HeaderWriterFilter@2fa05509, org.springframework.security.web.authentication.logout.LogoutFilter@4ed1263a, zerobase.dividend.security.JwtAuthenticationFilter@b6b86ce, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5b6c5f2d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5f074b4f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@16a451, org.springframework.security.web.session.SessionManagementFilter@3bd49457, org.springframework.security.web.access.ExceptionTranslationFilter@49f13a2a, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2a5afcdd]
17:10:38.548 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
17:10:38.567 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
17:10:38.583 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
17:10:38.596 [restartedMain] INFO  z.dividend.DividendApplication - Started DividendApplication in 4.701 seconds (JVM running for 6.275)
17:11:20.306 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
17:11:20.307 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
17:11:20.309 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
17:11:22.938 [http-nio-8080-exec-3] INFO  zerobase.dividend.web.AuthController - user login -> grace
17:11:45.699 [http-nio-8080-exec-4] INFO  z.d.security.JwtAuthenticationFilter - [grace] -> /company
